day,wildtype_prop,ferret_type,ferret,tcid50,pcr,pyro
1,1,donor,1,1.1666666666666665,5.175576923076923,0
1,1,donor,2,3.1666666666666665,6.050705128205128,0
1,1,donor,3,0.5,4.181346153846154,0
1,1,donor,4,1.1666666666666665,5.3118910256410254,0
1,1,recipient,1,NA,NA,NA
1,1,recipient,2,NA,NA,NA
1,1,recipient,3,NA,NA,NA
1,1,recipient,4,NA,NA,NA
1,0,donor,1,3.5,6.9088141025641034,0.9890000000000001
1,0,donor,2,3.1666666666666665,5.6905769230769225,0.978
1,0,donor,3,4.5,6.668782051282051,0.9890000000000001
1,0,donor,4,3.1666666666666665,5.543173076923076,0.985
1,0,recipient,1,NA,NA,NA
1,0,recipient,2,NA,NA,NA
1,0,recipient,3,NA,NA,NA
1,0,recipient,4,NA,NA,NA
1,0.5,donor,1,0.5,2.615589225589227,0
1,0.5,donor,2,0.5,0,0
1,0.5,donor,3,0.5,2.8663636363636367,0
1,0.5,recipient,1,NA,NA,NA
1,0.5,recipient,2,NA,NA,NA
1,0.5,recipient,3,NA,NA,NA
1,0.8,donor,1,0.5,4.101414141414141,0
1,0.8,donor,2,0.5,0,0
1,0.8,recipient,1,NA,NA,NA
1,0.8,recipient,2,NA,NA,NA
1,0.2,donor,1,0.5,3.967474747474747,0
1,0.2,donor,2,0.5,3.3655218855218854,0
1,0.2,recipient,1,NA,NA,NA
1,0.2,recipient,2,NA,NA,NA
2,1,donor,1,6.166666666666666,8.334391025641025,0
2,1,donor,2,6.166666666666666,8.183910256410256,0
2,1,donor,3,3.1666666666666665,6.681666666666667,0
2,1,donor,4,5.5,8.299134615384615,0
2,1,recipient,1,0.8333333333333333,2.655480769230769,NA
2,1,recipient,2,0.5,4.204839743589743,NA
2,1,recipient,3,0.5,0,NA
2,1,recipient,4,0.5,3.9677884615384613,NA
2,0,donor,1,3.833333333333333,6.765064102564102,0.985
2,0,donor,2,2.6666666666666665,6.7836858974358965,0.983
2,0,donor,3,4.5,7.798910256410256,1
2,0,donor,4,4.833333333333333,7.896987179487179,0.988
2,0,recipient,1,0.5,2.5117628205128204,0
2,0,recipient,2,0.5,3.787660256410256,0
2,0,recipient,3,0.5,2.6450320512820507,NA
2,0,recipient,4,0.5,3.208685897435897,NA
2,0.5,donor,1,3.5,5.975925925925925,0.21
2,0.5,donor,2,0.5,3.7904713804713803,NA
2,0.5,donor,3,1.5,4.475892255892256,NA
2,0.5,recipient,1,0.5,3.0520538720538712,NA
2,0.5,recipient,2,0.5,1.4131649831649826,0
2,0.5,recipient,3,0.5,1.9031313131313143,NA
2,0.8,donor,1,2.5,5.435319865319865,0
2,0.8,donor,2,1,1.4025589225589217,0
2,0.8,recipient,1,0.5,0,NA
2,0.8,recipient,2,0.5,0,0
2,0.2,donor,1,0.5,4.326599326599327,NA
2,0.2,donor,2,2.5,4.750707070707071,NA
2,0.2,recipient,1,0.5,0,0
2,0.2,recipient,2,0.5,0,NA
3,1,donor,1,3.833333333333333,7.179711538461539,0
3,1,donor,2,4.833333333333333,7.513141025641025,0
3,1,donor,3,3.5,6.41025641025641,0
3,1,donor,4,4.166666666666666,6.93599358974359,0
3,1,recipient,1,0.5,4.69375,NA
3,1,recipient,2,0.5,4.100096153846154,NA
3,1,recipient,3,0.5,2.706346153846155,NA
3,1,recipient,4,0.5,3.673333333333333,NA
3,0,donor,1,4.166666666666666,7.0900320512820505,0.973
3,0,donor,2,4.166666666666666,6.606730769230769,0.977
3,0,donor,3,3.5,6.148557692307693,1
3,0,donor,4,2.833333333333333,6.512852564102564,0.98
3,0,recipient,1,0.5,2.3691346153846156,0
3,0,recipient,2,0.5,3.268108974358974,NA
3,0,recipient,3,0.5,3.3274999999999992,0
3,0,recipient,4,0.5,4.683717948717948,NA
3,0.5,donor,1,4.5,7.057340067340067,0.325
3,0.5,donor,2,5.5,7.643602693602694,0.725
3,0.5,donor,3,4.5,7.906700336700337,0.253
3,0.5,recipient,1,0.5,3.2829629629629626,0
3,0.5,recipient,2,0.5,2.754983164983164,NA
3,0.5,recipient,3,1.5,3.107340067340067,0
3,0.8,donor,1,6.166666666666666,7.533468013468013,0.05
3,0.8,donor,2,3.833333333333333,6.7607070707070704,0
3,0.8,recipient,1,0.5,2.854141414141415,NA
3,0.8,recipient,2,0.5,1.4097306397306402,0
3,0.2,donor,1,3.5,6.205521885521886,0.986
3,0.2,donor,2,4.5,6.418316498316498,0.46399999999999997
3,0.2,recipient,1,0.5,1.4221885521885522,0
3,0.2,recipient,2,0.5,1.9984175084175075,NA
4,1,donor,1,3.833333333333333,6.904839743589743,0
4,1,donor,2,3.833333333333333,6.871634615384615,0
4,1,donor,3,0.8333333333333333,6.436442307692308,0
4,1,donor,4,3.5,6.550352564102564,0
4,1,recipient,1,4.166666666666666,7.308429487179486,0
4,1,recipient,2,3.1666666666666665,6.742051282051282,NA
4,1,recipient,3,0.5,4.688717948717949,NA
4,1,recipient,4,4.5,7.089679487179487,0
4,0,donor,1,1.1666666666666665,6.376378205128205,0.97
4,0,donor,2,1.5,6.7181410256410254,0.985
4,0,donor,3,3.5,7.073076923076924,0.988
4,0,donor,4,3.1666666666666665,5.983717948717948,0.961
4,0,recipient,1,0.5,2.5921794871794877,0
4,0,recipient,2,0.5,4.480897435897435,NA
4,0,recipient,3,3.1666666666666665,6.2770192307692305,0.9670000000000001
4,0,recipient,4,4.166666666666666,7.365544871794872,0.987
4,0.5,donor,1,3.5,6.89043771043771,0.447
4,0.5,donor,2,3.5,6.904444444444444,0.581
4,0.5,donor,3,4.166666666666666,7.129764309764309,0.312
4,0.5,recipient,1,2.833333333333333,5.4586531986532,0
4,0.5,recipient,2,0.5,4.852996632996634,NA
4,0.5,recipient,3,0.5,4.0894949494949495,NA
4,0.8,donor,1,3.5,5.943535353535354,0
4,0.8,donor,2,5.166666666666666,7.72942760942761,0
4,0.8,recipient,1,0.5,3.1552525252525245,NA
4,0.8,recipient,2,0.5,1.9341414141414137,NA
4,0.2,donor,1,4.833333333333333,7.488080808080808,0.9840000000000001
4,0.2,donor,2,4.166666666666666,6.446767676767677,0
4,0.2,recipient,1,0.5,2.581380471380471,0
4,0.2,recipient,2,0.5,1.7370370370370365,NA
5,1,donor,1,3.833333333333333,7.321282051282052,0
5,1,donor,2,3.833333333333333,6.724262820512821,0
5,1,donor,3,1.5,6.243814102564102,0
5,1,donor,4,1.5,6.899166666666667,0
5,1,recipient,1,5.5,8.597371794871796,0
5,1,recipient,2,4.833333333333333,7.608589743589744,0
5,1,recipient,3,3.1666666666666665,6.185192307692308,0
5,1,recipient,4,3.833333333333333,6.898173076923077,0
5,0,donor,1,1.1666666666666665,6.653589743589744,0.983
5,0,donor,2,2.833333333333333,6.422211538461539,0.981
5,0,donor,3,3.1666666666666665,7.109102564102565,0.9790000000000001
5,0,donor,4,0.8333333333333333,5.451891025641026,0.988
5,0,recipient,1,0.5,2.2484294871794885,0
5,0,recipient,2,4.5,6.993621794871794,0.985
5,0,recipient,3,4.5,7.314839743589744,0.991
5,0,recipient,4,2.833333333333333,5.781089743589743,0.985
5,0.5,donor,1,3.833333333333333,7.2961616161616165,0.7659999999999999
5,0.5,donor,2,3.833333333333333,6.60040404040404,0.5589999999999999
5,0.5,donor,3,4.833333333333333,7.011010101010101,0.35
5,0.5,recipient,1,4.833333333333333,7.379259259259259,0.978
5,0.5,recipient,2,5.166666666666666,7.463468013468014,0.228
5,0.5,recipient,3,4.166666666666666,7.578350168350168,0.922
5,0.8,donor,1,3.5,6.894949494949495,0.015
5,0.8,donor,2,4.833333333333333,7.144343434343434,0
5,0.8,recipient,1,4.166666666666666,6.526262626262627,0
5,0.8,recipient,2,0.5,2.225117845117846,NA
5,0.2,donor,1,5.166666666666666,7.437340067340068,0.972
5,0.2,donor,2,4.833333333333333,7.464242424242424,0.045
5,0.2,recipient,1,3.1666666666666665,6.081750841750842,0.9890000000000001
5,0.2,recipient,2,3.833333333333333,6.661313131313132,0
6,1,donor,1,4.166666666666666,6.932019230769231,0
6,1,donor,2,1.1666666666666665,5.131217948717948,0
6,1,donor,3,0.5,5.946346153846155,0
6,1,donor,4,0.8333333333333333,5.520769230769231,0
6,1,recipient,1,4.5,6.942211538461539,0
6,1,recipient,2,3.5,6.841955128205129,0
6,1,recipient,3,6.166666666666666,8.004102564102563,0
6,1,recipient,4,3.833333333333333,6.781794871794872,0
6,0,donor,1,0.5,5.045160256410256,0.978
6,0,donor,2,0.8333333333333333,6.122916666666667,0.978
6,0,donor,3,0.5,5.989647435897435,0.973
6,0,donor,4,1.1666666666666665,3.884198717948718,NA
6,0,recipient,1,0.5,1.9068910256410256,0
6,0,recipient,2,4.5,7.2908974358974366,0.99
6,0,recipient,3,3.833333333333333,7.488141025641025,0.99
6,0,recipient,4,3.1666666666666665,6.59073717948718,0.986
6,0.5,donor,1,1.1666666666666665,6.607441077441078,0.807
6,0.5,donor,2,3.833333333333333,6.226565656565657,0.598
6,0.5,donor,3,3.833333333333333,6.832558922558922,0.281
6,0.5,recipient,1,4.166666666666666,6.9393265993265985,0.983
6,0.5,recipient,2,5.5,7.95949494949495,0.22699999999999998
6,0.5,recipient,3,5.166666666666666,7.233771043771044,0.985
6,0.8,donor,1,4.833333333333333,6.443232323232324,0
6,0.8,donor,2,3.833333333333333,6.597138047138047,0
6,0.8,recipient,1,5.5,7.379259259259259,0
6,0.8,recipient,2,0.5,3.412053872053872,NA
6,0.2,donor,1,4.166666666666666,7.085656565656565,0.977
6,0.2,donor,2,3.5,6.98959595959596,0.132
6,0.2,recipient,1,4.833333333333333,7.004242424242424,0.9890000000000001
6,0.2,recipient,2,5.833333333333333,8.32996632996633,0
7,1,donor,1,0.5,4.622532051282051,0
7,1,donor,2,0.5,2.8474358974358975,NA
7,1,donor,3,0.5,3.885064102564103,NA
7,1,donor,4,0.5,4.027916666666666,NA
7,1,recipient,1,3.5,6.748653846153847,0
7,1,recipient,2,3.833333333333333,7.323814102564103,0
7,1,recipient,3,3.833333333333333,6.652147435897436,0
7,1,recipient,4,3.833333333333333,6.7671794871794875,0
7,0,donor,1,0.5,2.826089743589743,NA
7,0,donor,2,0.5,4.202980769230769,NA
7,0,donor,3,0.5,5.013621794871796,0.9690000000000001
7,0,donor,4,0.5,4.026185897435898,NA
7,0,recipient,1,0.5,1.8390705128205138,0
7,0,recipient,2,3.833333333333333,6.385769230769231,0.987
7,0,recipient,3,3.833333333333333,6.27125,0.982
7,0,recipient,4,2.833333333333333,6.327884615384616,0.978
7,0.5,donor,1,0.5,6.290808080808081,0.807
7,0.5,donor,2,2.833333333333333,6.0203030303030305,0.34299999999999997
7,0.5,donor,3,1.1666666666666665,6.074074074074074,0.17300000000000001
7,0.5,recipient,1,3.833333333333333,7.271750841750841,0.988
7,0.5,recipient,2,3.833333333333333,7.251683501683502,0.235
7,0.5,recipient,3,4.166666666666666,6.852828282828283,0.9690000000000001
7,0.8,donor,1,0.5,5.176363636363637,0.061
7,0.8,donor,2,0.5,5.356868686868687,0
7,0.8,recipient,1,6.5,7.859393939393939,0
7,0.8,recipient,2,4.833333333333333,7.017878787878788,0
7,0.2,donor,1,2.833333333333333,5.9178451178451175,0.922
7,0.2,donor,2,0.8333333333333333,5.134478114478115,0.201
7,0.2,recipient,1,4.5,6.996363636363636,0.943
7,0.2,recipient,2,4.833333333333333,6.2303367003367,0
8,1,donor,1,0.5,2.9954487179487193,NA
8,1,donor,2,0.5,2.587916666666667,NA
8,1,donor,3,0.5,NA,NA
8,1,donor,4,0.5,2.111826923076924,NA
8,1,recipient,1,2.833333333333333,6.804775641025642,0
8,1,recipient,2,2.833333333333333,6.62977564102564,0
8,1,recipient,3,4.166666666666666,7.18900641025641,0
8,1,recipient,4,2.833333333333333,6.667179487179487,0
8,0,donor,1,0.5,1.8316346153846155,0
8,0,donor,2,0.5,3.1749999999999994,NA
8,0,donor,3,0.5,1.530096153846153,NA
8,0,donor,4,0.5,2.44650641025641,NA
8,0,recipient,1,0.5,2.0679807692307697,0
8,0,recipient,2,3.5,7.426923076923077,0.9890000000000001
8,0,recipient,3,2.833333333333333,6.437371794871795,0.991
8,0,recipient,4,0.5,5.234102564102564,0.975
8,0.5,donor,1,0.5,3.8561952861952857,NA
8,0.5,donor,2,0.5,4.456195286195285,NA
8,0.5,donor,3,0.5,5.271548821548822,0.332
8,0.5,recipient,1,3.833333333333333,6.56057239057239,0.9620000000000001
8,0.5,recipient,2,2.833333333333333,6.689057239057239,0.21
8,0.5,recipient,3,3.1666666666666665,6.283198653198653,0.966
8,0.8,donor,1,0.5,2.983097643097643,NA
8,0.8,donor,2,0.5,2.6167003367003363,NA
8,0.8,recipient,1,3.5,5.8333670033670035,0
8,0.8,recipient,2,3.833333333333333,6.518484848484848,0
8,0.2,donor,1,0.5,4.607205387205387,NA
8,0.2,donor,2,0.5,3.8765319865319867,NA
8,0.2,recipient,1,3.5,6.127878787878787,0.9790000000000001
8,0.2,recipient,2,3.5,6.356767676767676,0
9,1,donor,1,0.5,2.598044871794871,NA
9,1,donor,2,0.5,2.822788461538461,NA
9,1,donor,3,0.5,2.0015705128205132,NA
9,1,donor,4,0.5,2.147724358974358,NA
9,1,recipient,1,0.5,5.365705128205128,0
9,1,recipient,2,0.5,4.8991987179487175,0.015
9,1,recipient,3,2.833333333333333,6.256698717948718,0
9,1,recipient,4,0.5,5.305224358974359,0.013999999999999999
9,0,donor,1,0.5,2.9593269230769232,0
9,0,donor,2,0.5,2.3469871794871797,NA
9,0,donor,3,0.5,2.4543269230769225,NA
9,0,donor,4,0.5,4.160000000000001,NA
9,0,recipient,1,0.5,1.5341346153846165,0
9,0,recipient,2,0.8333333333333333,5.376570512820512,0.987
9,0,recipient,3,2.833333333333333,5.738717948717949,1
9,0,recipient,4,0.5,3.1502564102564103,NA
9,0.5,donor,1,0.5,4.405925925925925,NA
9,0.5,donor,2,0.5,3.8567676767676775,NA
9,0.5,donor,3,0.5,2.831212121212122,NA
9,0.5,recipient,1,0.5,4.790101010101011,0.943
9,0.5,recipient,2,3.5,5.914377104377104,0.244
9,0.5,recipient,3,1.1666666666666665,4.921279461279462,NA
9,0.8,donor,1,0.5,2.574882154882156,NA
